GeneID,083T,128T,135T,147T,157T,168T
4930519F16Rik,25,10,7,16,8,0
4930519G04Rik,7,19,6,17,11,9
4930522H14Rik,5,6,6,9,0,0
4930523C07Rik,18,15,0,6,15,0
4930524B15Rik,16,17,8,13,29,7
4930539E08Rik,9,6,11,8,6,7
4930544D05Rik,11,13,10,26,12,6
4930544G11Rik,14,14,6,0,0,8
4930548H24Rik,7,7,7,0,7,7
4930550C14Rik,9,8,0,6,0,0
4930550L24Rik,7,6,0,6,0,0
4930555G01Rik,30,32,13,31,18,31
4930558K02Rik,20,20,13,13,9,13
4930562C15Rik,17,10,8,9,12,10
4930563E22Rik,7,6,0,0,6,7
4930563M21Rik,11,0,0,6,6,0
4930564C03Rik,6,7,7,8,10,7
4930564D02Rik,6,6,0,6,7,6
4930568D16Rik,12,6,0,5,0,6
4930571K23Rik,6,6,0,0,8,6
4930578I06Rik,6,0,7,6,6,0
4930579F01Rik,18,14,12,14,20,10
4930579G24Rik,0,0,0,0,7,0
4930590J08Rik,16,15,11,9,12,11
4930591A17Rik,7,0,8,0,0,0
4930595M18Rik,12,18,0,12,12,0
4930596D02Rik,6,0,0,0,6,0
4931406B18Rik,9,8,6,6,6,0
4931406C07Rik,176,312,168,224,176,152
4931406P16Rik,43,35,15,35,35,30
4931408C20Rik,25,24,14,25,22,15
4931414P19Rik,6,6,7,0,10,0
4931417E11Rik,6,8,8,0,0,5
4931422A03Rik,15,11,11,7,6,6
4931428F04Rik,13,9,0,7,18,11
4931429L15Rik,7,0,6,6,7,0
4931440F15Rik,8,0,15,8,7,7
4932411N23Rik,11,8,0,8,6,6
4932414N04Rik,11,8,7,13,16,6
4932429P05Rik,7,9,0,0,0,6
4932438A13Rik,38,26,21,8,21,27
4932438H23Rik,0,0,0,6,0,0
4933402D24Rik,0,7,8,6,7,0
4933402E13Rik,0,7,0,0,0,0
4933402J07Rik,0,6,0,6,8,8
4933402N03Rik,8,9,9,11,9,0
4933403O08Rik,10,0,6,17,16,10
4933405L10Rik,8,6,0,7,17,9
4933405O20Rik,8,0,0,6,0,0
4933409G03Rik,16,10,6,8,8,9
4933411K16Rik,5,7,0,0,14,8
4933412E24Rik,7,5,7,0,0,0
4933416I08Rik,14,15,12,16,14,14
4933417A18Rik,8,10,0,15,10,6
4933421I07Rik,332,140,88,88,72,104
4933424G06Rik,0,0,8,0,0,0
4933427D14Rik,56,66,24,28,36,28
4933428G20Rik,6,10,0,7,0,7
4933428M09Rik,0,0,0,0,5,0
4933430I17Rik,55,20,0,0,16,24
4933434E20Rik,192,144,184,96,280,184
4933436I01Rik,17,6,0,0,9,6
5031410I06Rik,6,10,0,10,10,11
5031439G07Rik,0,18,14,0,17,12
5330417C22Rik,12,13,6,9,15,7
5430401F13Rik,6,0,0,6,8,0
5530400C23Rik,8,0,0,0,0,0
5730455P16Rik,10,19,15,21,16,19
5730507C01Rik,0,6,5,6,10,6
5830411N06Rik,48,208,232,84,72,0
6030458C11Rik,60,44,72,64,0,68
6030468B19Rik,7,11,0,0,0,0
6030498E09Rik,0,0,0,0,6,0
6330403K07Rik,0,6,8,0,0,0
6330409D20Rik,0,6,0,0,0,0
6430548M08Rik,16,0,0,12,13,12
6430550D23Rik,24,24,48,36,32,32
6430571L13Rik,6,6,0,0,0,0
6430628N08Rik,14,9,0,9,6,6
6720489N17Rik,240,216,320,168,360,264
6820408C15Rik,6,7,15,21,9,12
7420426K07Rik,8,9,7,11,6,0
8030462N17Rik,29,28,25,14,23,16
8030474K03Rik,0,6,7,0,0,0
9030025P20Rik,10,0,0,0,0,0
9030624G23Rik,35,29,10,26,15,20
9130019O22Rik,20,17,7,13,11,0
9130023H24Rik,8,0,0,12,0,9
9130401M01Rik,5,8,10,8,0,0
9130409I23Rik,9,0,6,9,0,6
9230019H11Rik,13,0,9,13,10,0
9230112D13Rik,6,0,0,0,0,0
9330159F19Rik,8,12,0,0,0,5
9330182L06Rik,72,90,72,96,96,78
9430015G10Rik,6,7,6,12,6,0
9430038I01Rik,23,18,14,21,18,17
9430069I07Rik,0,0,10,0,0,6
9530002B09Rik,8,7,0,0,0,6
9530003J23Rik,7,0,13,0,0,0
9530053A07Rik,15,11,11,17,11,12
9530068E07Rik,0,0,6,8,6,0
9530077C05Rik,7,12,6,17,6,8
9830107B12Rik,24,12,0,0,12,0
9930012K11Rik,10,9,7,6,0,6
9930021J03Rik,10,10,7,13,8,7
9930104L06Rik,10,7,9,8,0,0
9930111J21Rik1,12,7,11,0,8,0
a,6,6,6,6,6,6
A130010J15Rik,11,6,7,13,10,8
A1bg,8,7,0,5,9,8
A1cf,16,9,8,14,11,5
A26c3,21,7,23,14,13,22
A2m,29,28,20,13,11,16
A2ml1,20,17,16,16,8,15
A330070K13Rik,6,7,0,0,0,0
A3galt2,6,7,6,6,8,0
A430005L14Rik,9,0,0,0,0,0
A430033K04Rik,14,9,7,20,9,14
A430057M04Rik,6,0,10,0,0,7
A4galt,0,0,7,0,0,0
A4gnt,0,5,0,0,0,0
A530016L24Rik,0,7,8,7,0,8
A530032D15Rik,62,72,42,61,53,47
A530064D06Rik,68,56,48,0,44,84
A630001G21Rik,11,0,9,7,0,8
A630023A22Rik,15,19,16,12,14,0
A630073D07Rik,0,0,0,0,6,0
A630076J17Rik,11,0,0,0,0,6
A630095N17Rik,13,14,7,8,0,6
A730008H23Rik,93,93,100,92,91,91
A830010M20Rik,144,108,120,56,76,56
A830018L16Rik,928,912,576,504,696,432
A930009A15Rik,6,0,0,0,0,0
A930017K11Rik,0,0,7,9,6,0
A930018P22Rik,12,9,6,0,0,0
AA467197,6,0,0,0,8,9
AA623943,6,0,0,0,0,0
AA792892,0,0,11,8,0,6
AA986860,0,6,0,6,5,7
Aaas,15,19,7,13,8,11
Aacs,6,10,7,11,8,10
Aadac,9,0,5,14,6,7
Aadacl2,8,5,0,0,0,0
Aadacl2fm1,13,0,15,0,0,0
Aadacl2fm2,7,8,0,0,0,0
Aadacl3,11,5,0,0,0,0
Aadacl4,7,6,5,0,0,0
Aadacl4fm1,0,0,0,8,5,0
Aadacl4fm2,7,7,0,6,0,0
AAdacl4fm3,6,0,9,0,8,0
Aadacl4fm4,8,8,6,8,16,8
Aadacl4fm5,7,0,0,0,0,5
Aadat,10,8,6,7,7,5
Aagab,11,0,9,9,12,7
Aak1,43,28,7,28,21,13
Aamdc,6,7,0,0,10,0
Aamp,11,8,12,7,9,12
Aanat,11,10,6,7,11,15
Aar2,7,0,5,7,0,0
Aard,6,0,0,0,0,0
Aars,9,13,6,8,6,7
Aars2,0,20,24,18,16,52
Aarsd1,13,28,15,10,7,11
Aasdh,8,6,7,9,7,10
Aasdhppt,0,7,0,0,7,0
Aass,15,0,10,17,7,0
Aatf,15,16,13,25,10,0
Aatk,13,8,6,9,11,11
AB124611,9,6,8,12,0,8
Abat,19,11,0,10,0,6
Abca1,15,14,19,13,10,12
Abca12,9,15,14,12,29,7
Abca13,48,34,29,26,18,28
Abca14,20,13,12,11,9,15
Abca15,18,22,9,27,15,12
Abca16,108,160,104,92,136,152
Abca17,15,15,11,9,15,9
Abca2,22,26,16,24,23,11
Abca3,20,16,13,8,13,8
Abca4,24,19,18,18,20,25
Abca5,11,11,18,13,14,5
Abca6,1056,1224,1032,1368,1008,864
Abca7,31,30,6,7,16,12
Abca8a,12,19,16,19,14,9
Abca8b,16,13,10,21,16,9
Abca9,30,30,13,16,16,15
Abcb10,6,10,10,6,6,9
Abcb11,17,17,12,10,18,9
Abcb1a,23,16,12,10,8,11
Abcb1b,27,23,0,9,6,14
Abcb4,11,10,0,8,6,0
Abcb5,7,6,7,7,10,12
Abcb6,10,35,15,26,12,11
Abcb7,0,6,7,0,5,0
Abcb8,10,7,6,9,7,6
Abcb9,0,6,9,6,0,0
Abcc1,26,9,15,12,12,10
Abcc10,20,29,20,15,16,17
Abcc12,17,18,6,7,6,16
Abcc2,19,19,15,27,23,26
Abcc3,23,13,17,17,22,13
Abcc4,29,20,18,54,18,14
Abcc5,344,168,96,136,160,288
Abcc6,12,8,8,11,6,8
Abcc8,9,16,16,16,12,13
Abcc9,42,24,22,34,30,34
Abcd1,8,5,8,0,8,8
Abcd2,11,0,6,11,5,13
Abcd3,38,18,34,18,22,30
Abcd4,13,10,8,12,13,8
Abce1,16,18,15,14,9,16
Abcf1,52,35,18,28,28,22
Abcf2,18,7,16,14,12,10
Abcf3,13,18,6,11,12,6
Abcg1,25,8,0,7,10,8
Abcg2,7,7,7,8,0,6
Abcg3,8,9,0,10,10,6
Abcg4,7,13,9,7,11,6
Abcg5,12,9,9,12,8,6
Abcg8,160,240,144,152,96,104
Abhd1,14,19,10,10,21,9
Abhd10,21,14,0,0,12,0
Abhd11,10,8,0,15,9,0
Abhd12,17,6,0,5,15,6
Abhd12b,8,9,7,13,8,0
Abhd13,20,14,0,22,11,13
Abhd14a,11,12,6,15,13,12
Abhd14b,10,11,6,14,10,9
Abhd15,13,0,0,6,6,0
Abhd16a,12,9,8,17,9,13
Abhd16b,14,9,7,7,8,10
Abhd17a,0,0,7,0,8,0
Abhd17b,6,0,0,9,12,0
Abhd17c,6,7,0,0,6,0
Abhd18,12,18,0,10,7,0
Abhd2,6,0,0,0,6,0
Abhd3,0,6,9,8,6,0
Abhd4,0,14,14,22,18,20
Abhd5,24,50,24,28,44,0
Abhd6,0,12,22,12,0,19
Abhd8,13,0,7,0,8,6
Abi1,40,30,36,0,0,32
Abi2,282,192,204,168,156,184
Abi3,9,0,7,7,15,6
Abi3bp,684,1080,558,594,1152,576
Abitram,12,14,7,7,16,7
Abl1,23760,12384,15264,13824,23760,14976
Abl2,8,12,7,10,7,9
Ablim1,440,360,0,312,288,312
Ablim2,22,23,22,34,16,12
Ablim3,12,12,13,8,9,8
Abo,6,0,0,10,6,0
Abr,192,232,264,414,156,168
Abra,0,5,0,6,0,6
Abracl,0,8,6,0,0,0
Abraxas1,11,10,8,9,7,9
Abraxas2,7,0,5,0,10,9
Abt1,7,6,6,0,9,0
Abtb1,0,0,0,12,23,0
Abtb2,11,15,12,0,8,6
Acaa1a,50,46,22,12,0,16
Acaa1b,11,6,6,10,13,7
Acaa2,6,0,8,9,6,9
Acaca,44,35,33,26,25,23
Acacb,16,13,10,13,16,10
Acad10,17,7,15,10,18,0
Acad11,28,21,9,18,11,9
Acad12,12,11,11,6,12,6
Acad8,18,8,10,6,0,6
Acad9,11,6,7,0,7,8
Acadl,7,8,0,9,5,9
Acadm,11,7,6,11,14,13
Acads,6,15,8,6,6,0
Acadsb,7,9,7,13,6,8
Acadvl,17,14,19,8,14,8
Acan,15,11,9,12,8,8
Acap1,16,10,23,10,13,9
Acap2,24,19,13,18,8,16
Acap3,15,0,15,6,11,9
Acat1,13,6,11,9,6,7
Acat2,8,20,0,6,0,6
Acat3,30,37,22,29,28,15
Acbd3,8,8,0,6,0,0
Acbd4,7,15,7,6,17,10
Acbd5,22,16,0,20,0,14
Acbd6,24,24,26,30,24,0
Acbd7,0,6,0,0,0,0
Accs,9,6,8,6,5,0
Accsl,168,186,126,96,0,120
Acd,68,70,24,72,86,40
Ace,144,128,136,168,136,128
Ace2,18,14,8,28,15,15
Acer1,7,7,6,7,0,0
Acer2,0,0,0,8,6,10
Acer3,44,40,58,76,56,64
Ache,36,8,6,17,6,18
Acin1,7128,3168,4536,1404,5112,2592
Ackr1,10,8,7,6,0,6
